Title,Publisher,Valuable,Count,IDnum
"Bar Fight","Bacchanal Games",false,1,4164
"Bargain Quest","Jonathan Ying",false,1,2089
"Bargain Quest","Renegade Game Studios",false,1,2966
"Batman: The Animated Series Dice Game","Cryptozoic",false,1,3501
"Batman: The Animated Series Dice Game","Steve Jackson Games",false,1,1498
"Batsu!","Giant Fox Studios",false,1,4212
"Battle for Rokugan","Fantasy Flight Games",false,1,2070
"Battle Penguins","Ultrapro Entertainment",false,1,2807
"Battle Sheep","Blue Orange Games",false,1,3305
"Battlecon: War Of Indines","Level 99 Games",false,1,4112
"Beasty Bar","Zoch",false,1,2368
"Beer And Bread","Deep Print Games",false,1,4282
"Bees: The Secret Kingdom","Awaken Relms Lite",false,1,3222
"Beez","Next Move Games",false,1,3719
"Best Pitch","Broken Archer",false,1,4197
"Bigfoot vs. Yeti","Shoot Again Games",false,1,3399
"Birds Of A Feather","Snowbright Studio",false,1,4556
"Blaze","Heidelbar Games",false,1,3885
"Blitzkrieg!: World War Two In 20 Minutes","Psc Games",false,1,3848
"Blob Party","Wizkids",false,1,4632
"Blood And White Rose","Blue Magpie Games",false,1,4479
"Blood On The Clocktower","Pandemonium Institute",true,3,4433
"Blueprints Of Mad King Ludwig","Bezier Games",false,1,4622
"Board Game Cafe Frenzy","The Wood Games",false,1,4144
"Board Game Cafe Frenzy","Citie Lo",false,1,3388
"Boggle","Hasbro",false,1,100
"Bohnanza: Dahlias","Amigo",false,1,4451
"Bonsai","Dv Games",false,2,4506
"Boop.","Smirk & Dagger Games",false,1,4659
"Boop.","Smirk & Dagger",false,1,4676
"Borderlands: Tiny Tina's Robot Tea Party","Xyz Game Labs",false,2,2905
"Botanik","Space Cowboys",false,1,3615
"Bottom of the 9th","Dice Hate Me Games",false,1,1407
"Brandon The Brave","Haba",false,1,1541
"Brass: Birmingham","Roxley Games",false,2,2248
"Brew Crafters","Dice Hate Me Games",false,1,1212
"Broad Lines","Cranio Creations",false,1,4475
"Broken And Beautiful","Left Justified Studio",false,2,4297
"ButaBabel","Yuo",false,1,3281
"Byzanz","Renegade Game Studios",false,1,2116
"Cabanga!","Amigo",false,2,4522
"Cabo","Bezier Games",false,1,4137
"Cactus","Jordan Draper Games",false,1,3544
"Caesar!: Seize Rome in 20 Minutes!","Psc Games",false,2,3847
"Cafe Del Gatto","Schmidt",false,1,4530
"Cahoots","Mayday Games",false,1,3119
"Cairn","Matagot",false,1,3483
"Cake Auf","Julie Chen",false,1,3992
"Calico","Aeg",true,3,4208
"Calimala","Slackfire",false,1,2021
"Campfire Smokeout","Pair Of Jacks Games",false,1,4374
"Can't Catch Harry","Breaking Games",false,1,3530
"Can't Stop","Eagle-Gryphon Games",true,1,1979
"Canopy","Weird City Games",false,2,3780
"Cantankerous Cats","Breaking Games",false,1,2781
"Canvas","R2i Games",false,2,3879
"Cape May","Tw Games",false,1,3771
"Caper Cards: Bells Hells","Darrington Press",false,1,4638
"Captain Sonar","Asmodee",false,1,1764
"Caral","Funtails",false,1,4403
"Carcassonne","Z-Man Games",true,1,2793
"Carcassonne","Z-Man Games",true,1,1840
"Carcassonne","Hans Im Gluck",true,1,4035
"Carcassonne","Z-Man Games",true,1,1958
"Carcassonne: The Discovery","Rio Grande Games",false,1,128
"Carolingi","Sea Cove Games",false,1,4505
"Cartooner","Japanime Games",false,1,2561
"Cascadia","Aeg",true,1,3751
"Castaways","Passport Game Studios",false,1,137
"Castello Methoni","Mandoo Games",false,1,3404
"Castle Rampage","Pegasus Spiele",false,1,2502
"Castles By The Sea","Brotherwise Games",false,1,4459
"Cat Cafe","Mandoo Games",false,2,3445
"Cat In The Box","Bezier Games",true,1,4379
"Cat Lady","Aeg",false,9,2751
"Catacombs & Castles","Elzra",false,1,2370
"Catan","Catan Studios",true,1,4432
"Catan + 5-6 Player + Seafarers + Seafarers 5-6 Player Expansions","Catan Studio",true,1,4430
"Catan + 5-6 Players + Cities & Knights + 5-6 Cities & Knights","Catan Studio",true,1,4431
"Catan + Cities & Knights + Legend Of The Conquerors Expansions","Catan Studio",true,1,4426
"Catan + Explorers & Pirates Expansion","Catan Studio",true,1,4427
"Catan: Dawn Of Humankind","Catan Studio",true,1,4064
"Catan: Starfarers","Catan Studio",true,1,2995
"CATastrophe: A Game of 9 Lives","Original Sasquatch",false,4,4181
"Catch the Moon","Bombyx",false,1,2346
"Century: Eastern Wonders","Plan B Games",false,1,2239
"Century: Spice Road","Plan B Games",false,1,2122
"Cerebria The Inside World","Mindclash Games",false,1,2645
"Ceylon","Ludonova",false,1,2683
"Chai","Steeped Games",false,2,3815
"Chai Garam","Dice Toy Labs",false,1,4285
"Challengers!","Z-Man Games",false,2,4298
"Champions of Midgard","Grey Fox Games",false,2,1703
"Cheese Factory","Jason Anarchy Games",false,3,4599
"Chicken","Keymaster Games",false,2,4717
"Chicken!","Keymaster Games",false,5,4434
"Chop! Chop!","Djeco",false,1,3020
"Chrononauts","Looney Labs",false,1,165
"Churrascaria: A Cutthroat Game of Gluttony","Absurdist Productions",false,1,2801
"Citadels","Fantasy Flight Games",false,1,1857
"Cities: Skylines  The Board Game","Kosmos",false,1,3406
"City of the Big Shoulders","Parallel",false,1,2982
"City Of The Great Machine","Crowd Games",false,1,4238
"Clank! Catacombs","Direwolf",true,2,4370
"Clank!: A Deck-Building Adventure","Renegade Game Studios",true,1,2880
"Cloudspire","Chip Theory Games",false,1,3207
"Codenames","Cge",true,1,2939
"Codenames","Cge",true,1,1586
"Codenames: Disney Family Edition","Cge",true,1,2420
"Codenames: Marvel","Usaopoly",true,1,1957
"Codenames: Pictures","Cge",true,1,1424
"Cogs and Commissars","Atlas Games",false,1,2305
"Coimbra","Eggertspiele",false,2,2482
"Colour Brain","Big Potato Games",false,1,3653
"Colt Express","Asmodee",false,1,1557
"Colt Super Express","Ludonaute",false,1,3704
"Come Together","Chilifox Games",false,1,4274
"Competition Kitchen","Self Published",false,1,4591
"Concept Kids: Animals","Repos Production",false,2,2338
"Connect 37","Kawasaki Factory",false,1,4681
"Contra: The Board Game","Kess",false,1,4445
"Convert","Breaking Games",false,2,1434
"Cooper Island","Capstone Games",false,1,3455
"Copenhagen","Queen Games",false,1,3065
"Copenhagen","Queen Games",false,1,3064
"Coral","2 Tomatoes",false,1,4315
"Coraquest","Bright Eye Games",false,1,4218
"Corinth","Days Of Wonder",false,1,3043
"Corrosion","Deep Print Games",false,1,3838
"Corrupt Parliament","Mizo Games",false,1,4345
"Coup","Indie Boards & Cards",true,6,197
"Courier","Hoot Games",false,1,2797
"Cover Your Assets","Grandpa Beck'S",false,1,4637
"Cover Your Assets","Grandpa Beck'S Games",false,1,4723
"Cover Your Kingdom","Grandpa Beck'S Gamesttl34477i",false,1,4700
"Covert","Renegade Game Studios",false,1,1667
"Coyote","Heidelbar Games",false,2,3857
"Crash Octopus","Itten Games",false,1,4641
"Critters At War","Arcane Wonders",false,1,4392
"Crown of Emara","Pegasus Spiele",false,1,2491
"Crystallo","Zafty Games",false,2,3557
"Cthulhu!","Twilight Creations",false,1,2575
"Cubissimo","Djeco",false,2,3021
"Curli Kuller","Pegasus Spiele",false,1,2498
"Cytosis: A Cell Biology Game","Genius Games",false,1,2513
"Danger The Game","Origami Whale",false,2,3975
"Dango Bingo","Natriumlamp Games",false,1,4327
"Darkness","Green Meadown Games",false,1,2894
"Darwin's Journey","Thundergryph Games",false,1,4492
"Daybreak","Cmyk",false,3,4508
"Deadly Dowager","Spark Works",false,1,4413
"Dealt!","Amigo",false,2,3590
"Death Battle","Rooster Teeth Games",false,1,4111
"Deception: Murder in Hong Kong","Grey Fox Games",false,2,2062
"Deck Of Playing Cards","Ambassador",false,1,4585
"Deck Of Playing Cards","All In",false,2,4586
"Decktecktive: The Gaze Of The Ghost","Dv Giocho",false,1,3987
"Decorum","Floodgate Games",false,1,3979
"Deep Blue","Days Of Wonder",false,1,2991
"Deep Dive","Aeg",false,2,4582
"Deep Sea Adventure","Oink Games",false,2,2425
"Deep State: New World Order","Crowd Games",false,2,3976
"Deities","Mandoo Games",false,1,4326
"Delicious","Pencil First",false,1,4180
"Dice Forge","Asmodee",false,1,2084
"Dice Throne: Season One","Roxley Games",false,1,1847
"Dice Throne: Season One Rerolled","Roxley Games",false,1,4406
"Dice Throne: Season Two","Roxley Games",false,1,4405
"Diced Veggies","Ktbg",false,2,4714
"Die Macher","Spielworxx",false,1,3419
"Die Macher","Spiel Works",false,1,4157
"Die Seher Von Santiiba","Rose Gauntlet Entertainment",false,1,4042
"Die Wandelnden Turme","Abacus Spiele",false,1,4270
"Dinosaur World","Pandasaurus",false,1,3841
"Discordia","Iron Games",false,1,4284
"Discover: Lands Unknown","Fantasy Flight Games",false,1,2440
"Discworld: Ankh-Morpork","Mayfair Games",false,1,1030
"Disney Villainous Bigger And Badder","Ravensburger",false,1,4007
"Distilled","Paverson Games",false,1,4644
"Dogfight!","Psc Games",false,1,4222
"Dominion","Rio Grande Games",true,2,228
"Dominion","Rio Grande Games",true,1,3484
"Don't Get Got!","Big Potato Games",false,1,3698
"Don't L.l.a.m.a","Amigo",false,6,4435
"Dorf Romantik: The Duel","Pegasus Spiele",false,2,4509
"Dorfromantik","Pegasus Spiele",false,1,4334
"Dorfromantik","Pegasus Spiele",false,1,4128
"Down & Across","Will Shortz Games",false,1,3861
"Downforce","Restoration Games",false,1,1956
"Draconic Dice","Ultrapro Entertainment",false,1,3675
"Dracula Vs Van Helsing","Mandoo Games",false,3,4527
"Dragon Castle","Cmon",false,1,2318
"Dragon Punch","Level 99 Games",false,1,3566
"Dragonkeepers","Kosmos",false,5,4504
"Dragoon","Lay Waste Games",false,1,1480
"Dream Home","Asmodee",false,1,1554
"Dro Polter","Oink Games",false,2,4712
"Drop It","Kosmos",true,3,2130
"Dude","Tabletop Tycoon",false,1,4412
"Dune","Gale Force Nine",false,2,3121
"Dune Imperium Uprising","Legendary",false,1,4606
"Dungeon Decorators","Slugfest Games",false,2,3638
"Dungeon Drop","Gamewright",false,1,4141
"Dungeon Drop","Phase Shift",false,1,3587
"Dungeons & Dragons: Rock Paper Wizard","Wizkids",false,1,2573
"Dutch Resistance: Orange Shall Overcome!","Liberation Game Design",false,1,4486
"Ebb And Flow","Self Published",false,1,4617
"Ecos: First Continent","Aeg",false,2,3073
"Electropolis","Homosapiens Lab",false,2,3458
"Emerge","Pandasaurus",false,3,4536
"Energy Apex","Blue Magpie Games",false,3,4494
"Entropy","Rule & Make",false,1,1884
"Equinox","Plan B Games",false,1,3693
"Eris Abacus","Chatra Games",false,1,4683
"Escape Tales: Low Memory","Board & Dice",false,1,3085
"Eschaton","Archon Games",false,1,2822
"Eschaton","Archon Games",false,2,1740
"Esoteric","Sui Works",false,1,4682
"Ethnos","Spaghetti Western Games",false,2,1759
"Evacuation","Delicious Games",false,3,4533
"Everdell","Starling Games",true,1,2253
"Everdell Farshore","Starling Games",false,3,4564
"Everything Ever","Floodgate Games",false,1,4639
"Evil Corp.","Blackrock Games",false,1,4690
"Evil Corp.","La Boite De Jeu",false,1,4532
"Evolution","North Star Games",true,1,1524
"Ex Libris","Renegade Game Studios",false,2,2029
"Expeditions","Stonemaier Games",false,1,4624
"Exploding Kittens","Admagic Games",true,1,1328
"Exploding Kittens","Admagic Games",true,1,3101
"Exploding Kittens","Admagic Games",true,3,3031
"Exploding Kittens: NSFW Deck","Admagic Games",false,1,3990
"Eye My Favorite Things","Surume Days",false,1,2663
"Fabeland","Mirakulus",false,1,4076
"Fabled: The Spirit Lands","Crowd Games",false,1,4661
"Fae","Z-Man Games",false,1,2786
"Fafnir","Oink Games",false,2,3431
"Fairy Tale","Z-Man Games",false,1,1774
"Fake Art Inc.","Korea Board Games",false,2,4290
"Familiar Tales","Plaid Hat Games",false,1,3996
"Family Plot","White Cherry",false,1,1626
"Fancy Feathers","Friedemann Friese",false,1,4114
"Fancy Feathers","Spiel Direkt",false,1,4089
"Fantastic Factories","Metafactory Games",false,1,3280
"Fantasy Realms","Wizkids",false,1,3341
"Faraway","Catch Up Games",false,2,4687
"Fast Forward: FEAR","Stronghold Games",false,1,2866
"Fast Forward: FLEE","Stronghold Games",false,1,2868
"Fast Forward: FORTRESS","Stronghold Games",false,1,2867
"Fire Tower","Runaway Parade Games",false,7,3506
"Fireball Island: The Curse of Vul-Kar","Restoration Games",false,2,2766
"First Empires","Sand Castle Games",false,1,3908
"Fisherman","Paix Guild",false,1,4322
"Flamecraft","Cardboard Alchemy",false,3,4227
"Flash Point: Fire Rescue","Indie Boards & Cards",false,1,1510
"Flick Wars","Breaking Games",false,1,3529
"Flip Over Frog","Hub Games",false,1,3049
"Flip Ships","Renegade Game Studios",false,1,1941
"Floriferous","Pencil First",false,1,4179
"Flotsam Fight","Oink Games",false,1,2255
"Flugelrad","Clemens Gerhards",false,1,4544
"Fluxx","Looney Labs",false,1,307
"Fluxx Dice (expansion)","Looney Labs",false,1,4716
"Fog of Love","Hush Hush Projects",false,1,3364
"Fool's Gold","Rock Paper Scissors Games",false,1,3172
"Footprints","Chilifox Games",false,2,4535
"Forest Shuffle","Lookout Games",false,2,4534
"Framework","Pegasus Spiele",false,1,4221
"Freaky Frogs From Outaspace","2f-Spiele",false,1,4537
"Freedom Rings","Robable Entertainment",false,2,4702
"Freedom: The Underground Railroad","Academy Games",false,1,1947
"Freelancers","Plaid Hat Games",false,1,4570
"Frenemy Pastry Party","Mizo Games",false,1,3436
"From The Moon","Blackrock Games",false,1,4689
"Ftw?!","Spiel Direkt",false,3,4499
"Fugitive","Fowers Games",false,1,1525
"Fuji Flush","Stronghold Games",false,1,1951
"Fun Facts","Repos Production",false,1,4300
"Furnace","Arcane Wonders",false,1,3833
"Fuse","Renegade Game Studios",false,1,1641
"Future Inc","Dmz Lite",false,2,4515
"Game of Trains","Brain Games",false,2,3400
"Genshin Tarot","Brother Ming Games",false,1,4596
"Get the MacGuffin","Looney Labs",false,1,2351
"Getaway Driver","Uproarious Games",false,1,2902
"Ghost Stories","Asmodee",false,1,1843
"Ghostbusters: The Card Game","Renegade Game Studios",false,1,2827
"Ghosts of the Moor","Tasty Minstrel Games",false,1,2679
"Gift Of Tulips","Weird Giraffe Games",false,1,4382
"Gingerbread House","Lookout Games",false,1,2703
"Gladius","Cat Quartet Games",false,1,3585
"Glen More II: Chronicles","Funtails",false,1,3450
"Glitch Squad","Resonym",false,1,4398
"Gluons","2 Tomatoes",false,1,4468
"Gnoming A Round","Grandpa Beck'S Games",false,2,4720
"Go Cuckoo!","Haba",false,1,1545
"Go Nuts For Donuts!","Gamewright",false,1,2945
"Goat 'n' Goat","Okazu Brand",false,2,3413
"Gobbit","Oldchap Games",false,2,3537
"Golem","Cranio Creations",false,1,3891
"Good Dog, Bad Zombie","Make Big Things",false,1,2599
"Good Puppers","Asmadi Games",false,3,3729
"Gorilla Marketing","Roxley Games",false,1,3696
"Great Western Trail 2nd Edition","Eggertspiele",false,1,3711
"Greedy Kingdoms","Aeg",false,1,2603
"Gruff","Studio Woe",false,1,1333
"Gudetama:the Tricky Egg Card Game","Sanrio",false,1,4579
"Gudetama:The Tricky Egg Card Game","Renegade Game Studios",false,1,3944
"Guilds Of London","Tmg",false,1,3930
"Hadara","Z-Man Games",false,1,2974
"Hanamikoji","Quick Simple Fun Games",false,1,1890
"Handsome: An Elegant Wordgame","Buttonshy Games",false,1,4365
"Happy Little Dinosaurs","Unstable Games",false,1,3605
"Happy Salmon","North Star Games",false,1,2570
"Hardback","Fowers Games",false,2,1871
"Hasp","Agie",false,1,3285
"HATSUDEN","Itten",false,2,2360
"Havalandi","Pegasus Spiele",false,2,4487
"Heat: Pedal to The Metal","Days Of Wonder",false,3,4143
"Hellapagos","Gigamic",false,1,1693
"Hens","Little Rocket Games",false,3,4523
"Here Comes the Dog","Itten",false,1,2369
"Here, Kitty, Kitty!","Fireside Games",false,1,4050
"Hero Realms","White Wizard Games Llc",false,1,1575
"Hero: Tales Of The Tomes","Jimmy Ellerth Entertainment Llc",false,3,3997
"Hey, That's My Fish!","Fantasy Flight Games",false,2,3047
"Hickory Dickory","Plaid Hat Games",false,1,4557
"Hintegers","Zafty Games",false,1,1981
"Hintegers","Zafty Games",false,1,1804
"Hokkaido","Renegade Game Studios",false,2,2863
"Honshu","Lautapelit.Fi",false,4,3099
"Hooch Stooges","Rainbow Starlight",false,1,4698
"Horrified American Monsters","Ravensburger",false,1,4009
"Horrified Greek Monsters","Ravensburger",false,1,4662
"Horticulture","Last Night Games",false,1,4558
"Hues And Cues","The Op Games",false,2,4373
"Human Era","Lay Waste Games",false,1,2373
"Hunch!","Nice Game",false,1,4288
"Hunger: The Show","Origames",false,1,3888
"Hurlyburly","La Mame Games",false,2,3381
"Hysteria","Brouhaha Games",false,1,4369
"I Say, Holmes! (Second Edition)","Victory Point Games",false,1,3017
"ICECOOL","Brain Games",false,3,1608
"Idus Martii","2tomatoes Games",false,1,4489
"Illiterati","Gap Closer Games",false,1,4709
"Imhotep","Kosmos",false,1,1478
"Imhotep: A New Dynasty","Kosmos",false,1,2394
"Imperial Steam","Capstone Games",false,1,3825
"Import / Export","Dark Flight",false,1,1990
"Improper Nouns","Admagic Games",false,1,3744
"In Vino Morte","Buttonshy Games",false,1,4361
"Infiltrators","Broadway Games",false,2,4493
"Infinity Guantlet","Z-Man Games",false,1,3816
"Ingenious","Kosmos",false,1,4580
"Inhuman Conditions","Mythical Normal",false,1,3249
"Inhuman Conditions","Module",false,3,4715
"Innovation","Asmadi Games",false,2,410
"Inside Job","Kosmos",false,1,4440
"Insider","Oink Games",false,2,2424
"Irish Gauge","Capstone Games",false,3,3365
"Isle of Skye: From Chieftain to King","Mayfair Games",false,1,1294
"Isle of Skye: From Chieftain To King","Mayfair Games",false,1,3903
"Islebound","Red Raven Games",false,1,1475
"Islet","2 Tomatoes",false,1,4691
"Islet","2tomatoes Games",false,1,4511
"Istanbul","Aeg",false,1,1140
"It's A Wonderful Kingdom","La Boite De Jeu",false,3,3792
"It's a Wonderful World","Lucky Duck Games",false,1,3460
"It's Kind Of A Fun Story","Pop Haus Collective",false,1,4386
"Jaipur","Space Cowboys",false,2,3037
"Jamaica","Space Cowboys",false,1,3864
"Japanese: The Game","Bernhard Hamaker",false,1,4417
"Joking Hazard","Explosm",false,3,1633
"Jokkmokk: The Winter Market","Wizk!Ds",false,1,4633
"Jungle Speed","Asmodee",false,1,424
"Just One","Repos Production",false,1,2829
"Kabuto Sumo","Board Game Tables",false,3,3666
"Kanagawa","Iello",false,1,2150
"Karmaka","Hemisphere Games",false,1,3920
"Karvi","Hans Im Gluck",false,3,4495
"Keyflower","R&D Games",false,1,2199
"KeyForge: Call of the Archons","Fantasy Flight Games",false,1,2844
"Khora: Rise Of An Empire","Iello",false,1,3912
"King of New York","Iello",false,1,1170
"King of Tokyo","Iello",true,1,2302
"King of Tokyo","Iello",true,2,2086
"Kingdomino","Blue Orange Games",true,4,1970
"Kingdomino Duel","Blue Orange Games",false,2,3349
"Kites","Floodgate Games",false,1,3999
"Knight Fall","Red Raven Games",false,1,4652
"Ko-op","Off Cut Games",false,1,4163
"Kodama 3D","Indie Boards & Cards",false,1,3503
"Kodama: The Tree Spirits","Indie Boards & Cards",false,1,1391
"Kodama: The Tree Spirits","Indie Boards & Cards",false,1,1504
"Krosmaster: Arena","Ankama",false,1,4224
"Ku-ka-king","Kendi",false,2,4525
"Kuhfstein","Schmidt",false,1,4545
"Kung Fu","Good Game",false,1,3440
"Kutna Hora: The City Of Silver","Cge",false,2,4500
"Kuzooka","Pegasus Spiele",false,1,4337
"L.L.A.M.A","Amigo",false,2,3589
"La Stanza","Quined Games",false,1,3089
"Lacrimosa","Devir",false,1,4305
"Lagerstatten","Analog Lunchbox",false,1,1992
"Lanterns Dice: Lights In The Sky","Renegade Game Studios",false,1,3904
"Last Night on Earth: The Zombie Game","Flying Frog Productions",false,1,452
"Lawyer Up: Season 2","Rock Manor Games",false,1,4561
"Lazer Ryderz","Greater Than Games",false,1,1707
"Lecker Lava","Drei Magier",false,1,4526
"Legendary: A Marvel Deck Building Game","Upper Deck",false,1,1278
"Life Siphon","Lay Waste Games",false,2,3559
"Lift Off","Z-Man Games",false,1,3100
"Linko","Amigo",false,1,4452
"Lisbon Tram 28","Mebo",false,2,3782
"Little Town","Iello",false,1,4657
"Living Forest","Ludonaute",false,1,3768
"Living Planet","Ludically",false,1,3542
"Llamas Unleashed","Unstable Games",false,1,3613
"Llamas Unleashed","Unstable Unicorns",false,1,2897
"London","Osprey Games",false,1,2020
"Loot","Gamewright",false,1,471
"Lords of Waterdeep","Wizards Of The Coast",true,1,1390
"Lorenzo Il Magnifico","Cmon",false,1,2387
"Lost Cities","Kosmos",false,1,1410
"Lost Cities","Kosmos",false,1,482
"Lost Ruins Of Arnak","Cge",true,1,3865
"Lotus","Renegade Game Studios",false,1,1616
"Love Letter","Z-Man Games",true,1,3025
"Love Letter: Princess Princess Ever After","Renegade Game Studios",true,1,3716
"Lucidity: Six-sided Nightmares","Renegade Game Studios",false,1,3957
"Lunar Rush","Dead Alive Games",false,1,4601
"Machi Koro","Pandasaurus",false,1,1242
"Machi Koro 2","Pandasaurus",false,1,3606
"Made Up Movies","Made Up Movies Llc",false,2,4551
"Magellan: Elcano","Geek Attitude Games",false,1,3832
"Magic Mountain","Amigo",false,1,3741
"Magic: The Gathering - Explorers Of Ixalan","Wizards Of The Coast",false,1,4065
"Maharaja: The Game of Palace Building in India","Cranio Creations",false,1,3692
"Majesty: For the Realm","Z-Man Games",false,1,3314
"Make 10","Mts Games",false,2,4542
"Maracaibo","Capstone Games",false,2,3420
"Mars Open: Tabletop Golf","Bellwether Games",false,1,3600
"Mars Open: Tabletop Golf","Bellwether Games",false,1,3396
"Marvel Champions: The Card Game","Fantasy Flight Games",false,1,2992
"Marvel Dice Throne","The Op Games",false,2,4353
"Marvel Heroes","Nexus",false,1,3951
"Marvel: Remix","Wizkids",false,3,4069
"Maskmen","Oink Games",false,1,2949
"Mast Buy","Saikikaku",false,1,3775
"Master Of Rules","Smiling Monster Games",false,1,4578
"Master Word","Gerald Cattiaux",false,1,4110
"Matryoshka","Letiman Games",false,1,3079
"Maui","Next Move Games",false,1,4033
"Mech A Dream","Blue Orange Games",false,1,4052
"Medium","Greater Than Games",false,1,3023
"Mega Man Adventures","Kess",false,1,4446
"Meow","Asmadi Games",false,2,1247
"Mgbako","Nibcard",false,1,2630
"MicroMacro Full House","Pegasus Spiele",false,1,3820
"MicroMacro: Crime City","Pegasus Spiele",false,2,3607
"Millennium Blades","Level 99 Games",false,1,2083
"Mind MGMT: The Psychic Espionage Game","Off The Page Games",false,1,3823
"Miskatonic School For Girls","Fun To 11",false,1,3118
"Mission To Planet Hexx!","Move Rate 20 Games",false,1,3620
"Mlem Space Agency","Rebel",false,3,4507
"Modern Art","Cmon",false,1,1709
"Modern Art","Cmon",false,1,2758
"Modern Art","Cmon",false,1,3604
"Molly House","Wehrlegig Games",false,1,4604
"Monarch","Resonym",false,1,2589
"Moneybags","Oink Games",false,1,2266
"Monster Inn","Familie",false,1,4150
"Monster Meister","Zoch",false,1,2380
"Montmartre","Blam!",false,1,3338
"Monty Python Fluxx","Looney Labs",false,1,534
"Moon Adventure","Oink Games",false,2,3840
"Moon Leap","Playte",false,1,4149
"Moonrakers","Iv Studio",false,2,3629
"Moorland","Pegasus Spiele",false,2,4512
"Morels","Two Lanterns Games",false,1,1125
"Mottainai","Asmadi Games",false,2,1246
